split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.02658062055706978,0.9275123558484349,0.9336650082918739,0.9305785123966942,0.9930506754118841,0.9930506754118841,0.89193771921218,0.9930581376489904,9.8174,63.663,4.074,5.0
reverse,0.03474094718694687,0.965,0.9414634146341463,0.9530864197530864,0.9918695831613702,0.9918695831613702,0.8582112221882054,0.9917620490817763,15.7337,39.724,2.542,5.0
semantic,0.015234186314046383,0.9481481481481482,0.9746192893401016,0.9612015018773468,0.9961443460449425,0.9961443460449425,0.9834859653392103,0.9961612829231281,12.8165,50.638,3.199,5.0
heur_len,0.02063911408185959,0.9516129032258065,0.9694835680751174,0.9604651162790697,0.995492594977463,0.995492594977463,0.8077813081265964,0.9954055972895333,11.6783,53.518,3.425,5.0
heur_rare,0.017256462946534157,0.9462857142857143,0.971830985915493,0.9588882455124494,0.9953665139525197,0.9953665139525197,0.9024771512840177,0.9953883105481522,13.8984,44.969,2.878,5.0
std,0.02197330817580223,0.9186046511627907,0.9442231075697212,0.9312377210216111,0.9934453092994674,0.9934453092994674,0.9741013480903137,0.9934881541623304,12.9245,45.959,2.94,5.0
std,0.02258705534040928,0.9232283464566929,0.9342629482071713,0.9287128712871288,0.994401201693295,0.994401201693295,0.9666858260715916,0.9944053769641147,11.7398,50.597,3.237,5.0
advs,0.014980402775108814,0.9549295774647887,0.9755395683453237,0.9651245551601423,0.9969512195121951,0.9969512195121951,0.9857337102872578,0.9969551967573308,13.5764,46.036,2.946,5.0
