split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.07563639432191849,0.7972756410256411,0.810920945395273,0.8040404040404041,0.9849938928633746,0.9849938928633746,0.5516181902604662,0.9843055874075716,7.2558,323.465,20.26,5.0
reverse,0.49873021245002747,0.5781153767193594,0.5033964962459778,0.5381748686096511,0.9372475320242801,0.9372475320242801,0.32995920117345445,0.9251809212317753,30.4222,77.148,4.832,5.0
semantic,0.08066361397504807,0.8117131910235359,0.8617083091226031,0.8359639233370914,0.9865994774169466,0.9865994774169466,0.7334672943155827,0.9862825518658914,9.1539,256.613,16.059,5.0
heur_len,0.021206606179475784,0.8981588032220944,0.9171562867215041,0.9075581395348837,0.9953287908419387,0.9953287908419387,0.7209232782530307,0.995285337316602,16.8728,139.099,8.712,5.0
heur_rare,0.06744745373725891,0.8060559601379839,0.835186656076251,0.8203627852545348,0.9868813867636831,0.9868813867636831,0.5142577194317072,0.9864644856189444,21.6023,108.646,6.805,5.0
advs,0.03629477694630623,0.883668903803132,0.8823529411764706,0.88301043219076,0.995116487014965,0.995116487014965,0.709947166077603,0.9948871235907478,18.4691,127.131,7.959,5.0
