,standard,heur_len,heur_rare,adversarial,loc,semantic,reverse
standard,0.0,7.667462441629525e-07,7.1653648580083384e-06,5.7166827298615885e-06,2.1539150559912734e-05,1.2800383288213979e-05,0.0010731495274418634
heur_len,7.667462441629525e-07,0.0,1.2067969658691169e-05,3.308482359853926e-06,2.817801876764392e-05,1.6085521538977687e-05,0.0010317151990014706
heur_rare,7.1653648580083384e-06,1.2067969658691169e-05,0.0,2.0880829501246367e-05,7.351644834674431e-06,6.786180188012025e-06,0.0012286143313222642
adversarial,5.7166827298615885e-06,3.308482359853926e-06,2.0880829501246367e-05,0.0,3.395627432478676e-05,2.1116426631273555e-05,0.0010134851931898892
loc,2.1539150559912734e-05,2.817801876764392e-05,7.351644834674431e-06,3.395627432478676e-05,0.0,6.1449812339686716e-06,0.0013878811241404554
semantic,1.2800383288213979e-05,1.6085521538977687e-05,6.786180188012025e-06,2.1116426631273555e-05,6.1449812339686716e-06,0.0,0.0012878174920345486
reverse,0.0010731495274418634,0.0010317151990014706,0.0012286143313222642,0.0010134851931898892,0.0013878811241404554,0.0012878174920345486,0.0
