split,label,precision,recall,f1,support
loc,ambienteSedimentacao,0.45454545454545453,0.3333333333333333,0.3846153846153846,15
loc,baciaSedimentar,0.8,0.8275862068965517,0.8135593220338982,58
loc,bentonico,0.3333333333333333,0.09090909090909091,0.14285714285714288,11
loc,constituinteRochaSedimentar,0.9411764705882353,0.8,0.8648648648648648,20
loc,contextoGeologicoDeBacia,0.7142857142857143,0.746268656716418,0.7299270072992701,67
loc,elementoQuimico,1.0,0.7142857142857143,0.8333333333333333,7
loc,eon,0.875,0.9655172413793104,0.9180327868852458,29
loc,epoca,0.9285714285714286,0.978494623655914,0.9528795811518325,93
loc,era,0.9285714285714286,0.9848484848484849,0.9558823529411765,66
loc,estratigrafia,0.9259259259259259,0.8928571428571429,0.9090909090909091,28
loc,estruturaGeologica,0.6,0.42857142857142855,0.5,7
loc,estruturaSedimentar,0.6666666666666666,0.8,0.7272727272727272,5
loc,fosseis,0.5833333333333334,1.0,0.7368421052631579,7
loc,geomorfologia,1.0,0.8571428571428571,0.923076923076923,7
loc,granulometria,0.7647058823529411,0.7647058823529411,0.7647058823529412,17
loc,idade,0.8827586206896552,0.9846153846153847,0.9309090909090909,130
loc,magmaticas,0.9136690647482014,0.9338235294117647,0.9236363636363637,136
loc,metamorficas,0.8877551020408163,0.8787878787878788,0.8832487309644671,99
loc,mineral,0.96875,0.96875,0.96875,32
loc,periodo,0.9438202247191011,0.9130434782608695,0.9281767955801105,92
loc,planctonico,0.5588235294117647,0.8260869565217391,0.6666666666666667,23
loc,procedimentoMetodologico,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
loc,sedimentaresCarbonaticas,0.8095238095238095,0.8947368421052632,0.8500000000000001,57
loc,sedimentaresOrganicas,1.0,1.0,1.0,2
loc,sedimentaresQuimicas,0.0,0.0,0.0,2
loc,sedimentaresSiliciclasticas,0.8198757763975155,0.8741721854304636,0.8461538461538461,151
loc,sistemaPetrolifero,0.55,0.7857142857142857,0.6470588235294117,14
loc,unidadeEstratigrafica,0.7142857142857143,0.7142857142857143,0.7142857142857143,63
loc,unidadeGeotectonica,0.3333333333333333,0.5,0.4,2
reverse,ambienteSedimentacao,1.0,0.026785714285714284,0.052173913043478265,112
reverse,baciaSedimentar,0.6826568265682657,0.6026058631921825,0.6401384083044982,307
reverse,bentonico,0.0,0.0,0.0,27
reverse,campoPetrolifero,0.0,0.0,0.0,5
reverse,constituinteRochaSedimentar,0.9411764705882353,0.5714285714285714,0.7111111111111111,56
reverse,contextoGeologicoDeBacia,0.4747191011235955,0.5248447204968945,0.4985250737463127,322
reverse,elementoQuimico,0.9230769230769231,0.7058823529411765,0.8000000000000002,17
reverse,eon,0.9393939393939394,0.7948717948717948,0.8611111111111112,78
reverse,epoca,0.9230769230769231,0.8571428571428571,0.888888888888889,224
reverse,era,0.8712121212121212,0.9349593495934959,0.9019607843137255,123
reverse,estratigrafia,0.7216494845360825,0.6194690265486725,0.6666666666666666,113
reverse,estruturaGeologica,0.0,0.0,0.0,70
reverse,estruturaSedimentar,0.0,0.0,0.0,74
reverse,fosseis,0.7777777777777778,0.21875,0.34146341463414637,96
reverse,geomorfologia,1.0,0.8076923076923077,0.8936170212765957,26
reverse,granulometria,0.8222222222222222,0.43023255813953487,0.564885496183206,86
reverse,idade,0.8858858858858859,0.9247648902821317,0.9049079754601227,319
reverse,magmaticas,0.8736263736263736,0.6437246963562753,0.7412587412587412,247
reverse,metamorficas,0.8536585365853658,0.5965909090909091,0.7023411371237458,176
reverse,mineral,0.9565217391304348,0.66,0.7810650887573966,100
reverse,periodo,0.8640776699029126,0.8599033816425121,0.8619854721549638,207
reverse,planctonico,0.8292682926829268,0.6938775510204082,0.7555555555555555,49
reverse,procedimentoMetodologico,0.9821428571428571,0.9016393442622951,0.9401709401709402,61
