split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.05377170071005821,0.8501930501930502,0.8822115384615384,0.8659064097522612,0.9887927208166889,0.9887927208166889,0.6587085052451003,0.9884786309189074,6.4483,163.455,10.235,5.0
reverse,0.47329846024513245,0.7865531415149736,0.6253501400560224,0.6967490247074122,0.9423907634119638,0.9423907634119638,0.3926287809659085,0.9287794717006002,13.0672,80.66,5.051,5.0
semantic,0.04663388803601265,0.8404558404558404,0.9097918272937549,0.8737504627915587,0.9898943349023996,0.9898943349023996,0.6668808184213878,0.9897224714981325,6.9165,156.293,9.832,5.0
heur_len,0.0655684620141983,0.8440944881889764,0.8933333333333333,0.8680161943319838,0.985896976216087,0.985896976216087,0.6796626114892569,0.9856486616592398,8.6611,121.694,7.62,5.0
heur_rare,0.07353035360574722,0.815592203898051,0.8893732970027248,0.8508863399374348,0.9844875196274839,0.9844875196274839,0.6523659634606951,0.9843165729452448,9.7166,108.474,6.792,5.0
advs,0.16104331612586975,0.7859143657462985,0.7948199109672197,0.7903420523138833,0.9722327881323697,0.9722327881323697,0.62925450544226,0.9692491853124188,10.8739,96.929,6.07,5.0
