,standard,heur_len,heur_rare,adversarial,loc,semantic,reverse
standard,0.0,1.387529117158337e-07,9.271282425782346e-06,1.3367263796193463e-05,5.2187270330517066e-05,2.044744179396929e-05,0.0006895659032519763
heur_len,1.387529117158337e-07,0.0,1.1199495958735817e-05,1.2979691585424113e-05,5.544868023765748e-05,2.2628645800493175e-05,0.0006755812484829926
heur_rare,9.271282425782346e-06,1.1199495958735817e-05,0.0,3.9400745392770276e-05,1.932398691473214e-05,3.0923842270214053e-06,0.0008578291677027172
adversarial,1.3367263796193463e-05,1.2979691585424113e-05,3.9400745392770276e-05,0.0,0.00011363985107548658,6.34183690393364e-05,0.0005459983035265292
loc,5.2187270330517066e-05,5.544868023765748e-05,1.932398691473214e-05,0.00011363985107548658,0.0,7.349824550750839e-06,0.0011143798070269995
semantic,2.044744179396929e-05,2.2628645800493175e-05,3.0923842270214053e-06,6.34183690393364e-05,7.349824550750839e-06,0.0,0.0009445539021043503
reverse,0.0006895659032519763,0.0006755812484829926,0.0008578291677027172,0.0005459983035265292,0.0011143798070269995,0.0009445539021043503,0.0
