split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.07563649863004684,0.7972756410256411,0.810920945395273,0.8040404040404041,0.9849938928633746,0.9849938928633746,0.5516181902604662,0.9843055874075716,7.217,325.203,20.368,5.0
reverse,0.49873021245002747,0.5781153767193594,0.5033964962459778,0.5381748686096511,0.9372475320242801,0.9372475320242801,0.32995920117345445,0.9251809212317753,30.0828,78.018,4.887,5.0
semantic,0.08066357672214508,0.8117131910235359,0.8617083091226031,0.8359639233370914,0.9865994774169466,0.9865994774169466,0.7334672943155827,0.9862825518658914,9.0583,259.32,16.228,5.0
heur_len,0.021206628531217575,0.8981588032220944,0.9171562867215041,0.9075581395348837,0.9953287908419387,0.9953287908419387,0.7209232782530307,0.995285337316602,17.3514,135.263,8.472,5.0
heur_rare,0.06744734942913055,0.8060559601379839,0.835186656076251,0.8203627852545348,0.9868813867636831,0.9868813867636831,0.5142577194317072,0.9864644856189444,21.4706,109.312,6.847,5.0
advs,0.03629439324140549,0.883668903803132,0.8823529411764706,0.88301043219076,0.995116487014965,0.995116487014965,0.709947166077603,0.9948871235907478,18.3491,127.962,8.011,5.0
