split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.054959286004304886,0.9345780433159074,0.9390664865676122,0.9368168887558017,0.9907281604132762,0.9907281604132762,0.9330494000180107,0.9907164560738976,51.1556,80.597,5.043,5.0
reverse,0.19343946874141693,0.8807008037568861,0.8641559592379264,0.8723499418552643,0.974012966000022,0.974012966000022,0.8914804601243362,0.972968698604563,66.7348,61.782,3.866,5.0
semantic,0.08238779753446579,0.9517386722866175,0.9543533389687235,0.9530442123034716,0.9868720594930945,0.9868720594930945,0.9540100531973619,0.9865837850195649,29.4755,141.813,8.889,5.0
heur_len,0.03630712628364563,0.9605135993372912,0.9629065743944637,0.9617085982858723,0.9929633431570581,0.9929633431570581,0.962138507306871,0.9929258121728596,62.6548,65.805,4.118,5.0
heur_rare,0.05344154313206673,0.9448410870566559,0.9488840060136463,0.9468582309157002,0.9910221927465213,0.9910221927465213,0.9478290385962403,0.9909641735366185,63.549,64.879,4.06,5.0
std,0.1006765142083168,0.9150121908742599,0.9177292576419214,0.9163687102119125,0.9849905384483055,0.9849905384483055,0.9245260390942156,0.9849809342389966,39.2894,87.225,5.472,5.0
std,0.1006765142083168,0.9150121908742599,0.9177292576419214,0.9163687102119125,0.9849905384483055,0.9849905384483055,0.9245260390942156,0.9849809342389966,36.2663,94.495,5.928,5.0
