split,eval_loss,overall_precision,overall_recall,overall_f1,overall_accuracy,f1_micro,f1_macro,f1_weighted,runtime_s,samples_per_sec,steps_per_sec,epoch
loc,0.07158395648002625,0.7846481876332623,0.8177777777777778,0.8008705114254624,0.9879003192256204,0.9879003192256204,0.8749080418719243,0.9877434316251948,6.4274,323.303,20.226,5.0
reverse,0.6189872026443481,0.661106590724166,0.6427158866183257,0.6517815361989439,0.9058980526821307,0.9058980526821307,0.7213917323281355,0.8970099617174927,32.4245,64.087,4.009,5.0
semantic,0.08109400421380997,0.8691141260973663,0.918212478920742,0.8929889298892989,0.9781740540113084,0.9781740540113084,0.8676006522213805,0.9780081304928313,8.1311,268.72,16.849,5.0
heur_len,0.051156070083379745,0.8918819188191882,0.9186621056632459,0.9050739561879799,0.9892717867091126,0.9892717867091126,0.9433885533248542,0.989286709570346,18.4253,112.78,7.056,5.0
heur_rare,0.06728985905647278,0.8614491150442478,0.89614499424626,0.8784545967287084,0.9860707618553171,0.9860707618553171,0.9298025583281734,0.9860347646932086,24.9088,83.424,5.219,5.0
std,0.07542532682418823,0.8299620733249052,0.8643844634628045,0.8468236052886167,0.9842488054463191,0.9842488054463191,0.8801820955298949,0.9842084007261436,87.7253,15.845,0.992,5.0
advs,0.06945345550775528,0.8562921794362842,0.8880197612186085,0.8718674211802748,0.9857580004003775,0.9857580004003775,0.9191097151935363,0.985710037273226,18.7025,111.108,6.951,5.0
