,standard,heur_len,heur_rare,adversarial,loc,semantic,reverse
standard,0.0,0.0001578148768989207,0.00010686324720932117,7.235394735005674e-05,0.0003770611579690941,0.00038617960980480426,0.00037658109981786314
heur_len,0.0001578148768989207,0.0,0.00014934374685415808,0.00012084089865482817,0.0003678922700208753,0.00023079134161219095,0.0005422157209488132
heur_rare,0.00010686324720932117,0.00014934374685415808,0.0,3.0460343118932087e-05,0.00040398784180950553,0.0004737137518784351,0.00045493293774256927
adversarial,7.235394735005674e-05,0.00012084089865482817,3.0460343118932087e-05,0.0,0.0005221324453366094,0.0003439122507236103,0.0004173612109197311
loc,0.0003770611579690941,0.0003678922700208753,0.00040398784180950553,0.0005221324453366094,0.0,0.0009991702739793329,0.0008802284456859155
semantic,0.00038617960980480426,0.00023079134161219095,0.0004737137518784351,0.0003439122507236103,0.0009991702739793329,0.0,0.0005039882890051084
reverse,0.00037658109981786314,0.0005422157209488132,0.00045493293774256927,0.0004173612109197311,0.0008802284456859155,0.0005039882890051084,0.0
