,standard,heur_len,heur_rare,adversarial,loc,semantic,reverse
standard,0.0,2.064138417967598e-07,0.9774844483130686,0.9760859921735471,0.9775108945933052,0.9782736526271592,0.9993743427740296
heur_len,2.064138417967598e-07,0.0,0.9775318219820616,0.9763891871143255,0.97781332726592,0.9785767273337362,0.9993015447448866
heur_rare,0.9774844483130686,0.9775318219820616,0.0,0.9734302471258155,0.9734512514878548,0.9734470066165066,0.9924126968302474
adversarial,0.9760859921735471,0.9763891871143255,0.9734302471258155,0.0,4.400831060358268e-05,4.800146478722844e-05,0.9960584753199925
loc,0.9775108945933052,0.97781332726592,0.9734512514878548,4.400831060358268e-05,0.0,4.203381683387519e-06,0.9960860506063209
semantic,0.9782736526271592,0.9785767273337362,0.9734470066165066,4.800146478722844e-05,4.203381683387519e-06,0.0,0.9961252371148522
reverse,0.9993743427740296,0.9993015447448866,0.9924126968302474,0.9960584753199925,0.9960860506063209,0.9961252371148522,0.0
